./startup/00-startup.py:5:116: E501 line too long (117 > 115 characters)
./startup/00-startup.py:6:1: E402 module level import not at top of file
./startup/00-startup.py:6:1: F403 'from .RSoXS.SSTObjects.gatevalves import *' used; unable to detect undefined names
./startup/00-startup.py:7:1: E402 module level import not at top of file
./startup/00-startup.py:7:1: F403 'from .RSoXS.SSTObjects.shutters import *' used; unable to detect undefined names
./startup/00-startup.py:8:1: E402 module level import not at top of file
./startup/00-startup.py:8:1: F403 'from .RSoXS.SSTObjects.vacuum import *' used; unable to detect undefined names
./startup/00-startup.py:9:1: E402 module level import not at top of file
./startup/00-startup.py:9:1: F403 'from .RSoXS.SSTObjects.motors import *' used; unable to detect undefined names
./startup/00-startup.py:10:1: E402 module level import not at top of file
./startup/00-startup.py:10:1: F403 'from .RSoXS.SSTObjects.mirrors import *' used; unable to detect undefined names
./startup/00-startup.py:11:1: E402 module level import not at top of file
./startup/00-startup.py:11:1: F403 'from .RSoXS.SSTObjects.diode import *' used; unable to detect undefined names
./startup/00-startup.py:14:1: E402 module level import not at top of file
./startup/00-startup.py:14:1: F403 'from .RSoXS.SSTBase.archiver import *' used; unable to detect undefined names
./startup/00-startup.py:17:1: E402 module level import not at top of file
./startup/00-startup.py:17:1: F403 'from .RSoXS.RSoXSBase.startup import *' used; unable to detect undefined names
./startup/00-startup.py:20:1: E402 module level import not at top of file
./startup/00-startup.py:20:1: F403 'from .RSoXS.RSoXSObjects.motors import *' used; unable to detect undefined names
./startup/00-startup.py:21:1: E402 module level import not at top of file
./startup/00-startup.py:21:1: F403 'from .RSoXS.RSoXSObjects.cameras import *' used; unable to detect undefined names
./startup/00-startup.py:22:1: E402 module level import not at top of file
./startup/00-startup.py:22:1: F403 'from .RSoXS.RSoXSObjects.signals import *' used; unable to detect undefined names
./startup/00-startup.py:23:1: E402 module level import not at top of file
./startup/00-startup.py:23:1: F403 'from .RSoXS.RSoXSObjects.detectors import *' used; unable to detect undefined names
./startup/00-startup.py:24:1: E402 module level import not at top of file
./startup/00-startup.py:24:1: F403 'from .RSoXS.RSoXSObjects.slits import *' used; unable to detect undefined names
./startup/00-startup.py:25:1: E402 module level import not at top of file
./startup/00-startup.py:25:1: F403 'from .RSoXS.RSoXSObjects.syringepump import *' used; unable to detect undefined names
./startup/00-startup.py:26:1: E402 module level import not at top of file
./startup/00-startup.py:26:1: F403 'from .RSoXS.RSoXSObjects.energy import *' used; unable to detect undefined names
./startup/00-startup.py:29:1: E402 module level import not at top of file
./startup/00-startup.py:29:1: F403 'from .RSoXS.RSoXSBase.configurations import *' used; unable to detect undefined names
./startup/00-startup.py:30:1: E402 module level import not at top of file
./startup/00-startup.py:30:1: F403 'from .RSoXS.RSoXSBase.schemas import *' used; unable to detect undefined names
./startup/00-startup.py:31:1: E402 module level import not at top of file
./startup/00-startup.py:31:1: F403 'from .RSoXS.RSoXSBase.PVdictionary import *' used; unable to detect undefined names
./startup/00-startup.py:32:1: E402 module level import not at top of file
./startup/00-startup.py:32:1: F403 'from .RSoXS.RSoXSBase.common_procedures import *' used; unable to detect undefined names
./startup/00-startup.py:33:1: E402 module level import not at top of file
./startup/00-startup.py:33:1: F403 'from .RSoXS.RSoXSBase.common_metadata import *' used; unable to detect undefined names
./startup/00-startup.py:34:1: E402 module level import not at top of file
./startup/00-startup.py:34:1: F403 'from .RSoXS.RSoXSBase.energyscancore import *' used; unable to detect undefined names
./startup/00-startup.py:35:1: E402 module level import not at top of file
./startup/00-startup.py:35:1: F403 'from .RSoXS.RSoXSBase.energyscans import *' used; unable to detect undefined names
./startup/00-startup.py:36:1: E402 module level import not at top of file
./startup/00-startup.py:36:1: F403 'from .RSoXS.RSoXSBase.NEXAFSscans import *' used; unable to detect undefined names
./startup/00-startup.py:37:1: E402 module level import not at top of file
./startup/00-startup.py:37:1: F403 'from .RSoXS.RSoXSBase.alignment import *' used; unable to detect undefined names
./startup/00-startup.py:38:1: E402 module level import not at top of file
./startup/00-startup.py:38:1: F401 '.RSoXS.RSoXSObjects.slackbot.rsoxs_bot' imported but unused
./startup/00-startup.py:49:5: F403 'from RSoXS.RSoXSBase.magics import *' used; unable to detect undefined names
./startup/00-startup.py:51:5: F405 'user' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:67:9: F405 'Det_W' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:68:9: F405 'Shutter_Y' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:69:9: F405 'Izero_Y' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:70:9: F405 'Izero_ds' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:71:9: F405 'grating' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:72:9: F405 'mirror2' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:73:9: F405 'slits1' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:74:9: F405 'slits2' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:75:9: F405 'slits3' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:76:9: F405 'en' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:77:9: F405 'ring_current' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:78:9: F405 'Beamstop_WAXS' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:79:9: F405 'Beamstop_SAXS' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:80:9: F405 'Izero_Diode' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:81:9: F405 'Izero_Mesh' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:82:9: F405 'Slit1_Top_I' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:83:9: F405 'Slit1_IB_I' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:84:9: F405 'DM4_PD' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:85:9: F405 'mir1_pressure' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:86:9: F405 'rsoxs_ccg_izero' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
./startup/00-startup.py:87:9: F405 'rsoxs_pg_izero' may be undefined, or defined from star imports: .RSoXS.RSoXSBase.NEXAFSscans, .RSoXS.RSoXSBase.PVdictionary, .RSoXS.RSoXSBase.alignment, .RSoXS.RSoXSBase.common_metadata, .RSoXS.RSoXSBase.common_procedures, .RSoXS.RSoXSBase.configurations, .RSoXS.RSoXSBase.energyscancore, .RSoXS.RSoXSBase.energyscans, .RSoXS.RSoXSBase.schemas, .RSoXS.RSoXSBase.startup, .RSoXS.RSoXSObjects.cameras, .RSoXS.RSoXSObjects.detectors, .RSoXS.RSoXSObjects.energy, .RSoXS.RSoXSObjects.motors, .RSoXS.RSoXSObjects.signals, .RSoXS.RSoXSObjects.slits, .RSoXS.RSoXSObjects.syringepump, .RSoXS.SSTBase.archiver, .RSoXS.SSTObjects.diode, .RSoXS.SSTObjects.gatevalves, .RSoXS.SSTObjects.mirrors, .RSoXS.SSTObjects.motors, .RSoXS.SSTObjects.shutters, .RSoXS.SSTObjects.vacuum, RSoXS.RSoXSBase.magics
